Time,AI5,AI6
2019-11-06 11:26:31,219,97
2019-11-06 11:26:32,219,97
2019-11-06 11:26:33,219,97
2019-11-06 11:26:34,219,97
2019-11-06 11:26:35,219,97
2019-11-06 11:26:36,219,97
2019-11-06 11:26:37,219,97
2019-11-06 11:26:38,219,97
2019-11-06 11:26:39,219,97
2019-11-06 11:26:40,219,97
2019-11-06 11:26:41,219,97
2019-11-06 11:26:42,219,97
2019-11-06 11:26:43,219,97
2019-11-06 11:26:44,219,97
2019-11-06 11:26:45,219,97
2019-11-06 11:26:46,219,97
2019-11-06 11:26:47,219,97
2019-11-06 11:26:48,218,97
2019-11-06 11:26:49,218,97
2019-11-06 11:26:50,218,97
2019-11-06 11:26:51,218,97
2019-11-06 11:26:52,218,97
2019-11-06 11:26:53,218,97
2019-11-06 11:26:54,218,97
2019-11-06 11:26:55,218,97
2019-11-06 11:26:56,218,97
2019-11-06 11:26:57,218,97
2019-11-06 11:26:58,218,97
2019-11-06 11:26:59,218,97
2019-11-06 11:27:00,218,97
2019-11-06 11:27:01,218,97
2019-11-06 11:27:02,218,97
2019-11-06 11:27:03,218,97
2019-11-06 11:27:04,218,97
2019-11-06 11:27:05,218,97
2019-11-06 11:27:06,218,97
2019-11-06 11:27:07,218,97
2019-11-06 11:27:08,218,97
2019-11-06 11:27:09,218,97
2019-11-06 11:27:10,218,97
2019-11-06 11:27:11,218,97
2019-11-06 11:27:12,218,97
2019-11-06 11:27:13,218,97
2019-11-06 11:27:14,218,97
2019-11-06 11:27:15,218,97
2019-11-06 11:27:16,218,97
2019-11-06 11:27:17,218,97
2019-11-06 11:27:18,218,97
2019-11-06 11:27:19,218,97
2019-11-06 11:27:20,218,97
2019-11-06 11:27:21,218,97
2019-11-06 11:27:22,218,97
2019-11-06 11:27:23,218,97
2019-11-06 11:27:24,218,97
2019-11-06 11:27:25,218,97
2019-11-06 11:27:26,218,97
2019-11-06 11:27:27,218,97
2019-11-06 11:27:28,218,97
2019-11-06 11:27:29,218,97
2019-11-06 11:27:30,218,97
2019-11-06 11:27:31,218,97
2019-11-06 11:27:32,218,97
2019-11-06 11:27:33,218,97
2019-11-06 11:27:34,218,97
2019-11-06 11:27:35,218,97
2019-11-06 11:27:36,218,97
2019-11-06 11:27:37,218,97
2019-11-06 11:27:38,218,97
2019-11-06 11:27:39,218,97
2019-11-06 11:27:40,218,97
2019-11-06 11:27:41,218,97
2019-11-06 11:27:42,218,97
2019-11-06 11:27:43,218,97
2019-11-06 11:27:44,218,97
2019-11-06 11:27:45,218,97
2019-11-06 11:27:46,218,97
2019-11-06 11:27:47,218,97
2019-11-06 11:27:48,218,97
2019-11-06 11:27:49,218,97
2019-11-06 11:27:50,218,97
2019-11-06 11:27:51,218,97
2019-11-06 11:27:52,218,97
2019-11-06 11:27:53,218,97
2019-11-06 11:27:54,218,97
2019-11-06 11:27:55,218,97
2019-11-06 11:27:56,218,97
2019-11-06 11:27:57,218,97
2019-11-06 11:27:58,218,97
2019-11-06 11:27:59,218,97
2019-11-06 11:28:00,218,97
2019-11-06 11:28:01,218,97
2019-11-06 11:28:02,218,97
2019-11-06 11:28:03,218,97
2019-11-06 11:28:04,218,97
2019-11-06 11:28:05,218,97
2019-11-06 11:28:06,218,97
2019-11-06 11:28:07,218,97
2019-11-06 11:28:08,218,97
2019-11-06 11:28:09,218,97
2019-11-06 11:28:10,218,97
2019-11-06 11:28:11,218,97
2019-11-06 11:28:12,218,97
2019-11-06 11:28:13,218,97
2019-11-06 11:28:14,218,97
2019-11-06 11:28:15,218,97
2019-11-06 11:28:16,218,97
2019-11-06 11:28:17,218,97
2019-11-06 11:28:18,218,97
2019-11-06 11:28:19,218,97
2019-11-06 11:28:20,218,97
2019-11-06 11:28:21,218,97
2019-11-06 11:28:22,218,97
2019-11-06 11:28:23,218,97
2019-11-06 11:28:24,218,97
2019-11-06 11:28:25,218,97
2019-11-06 11:28:26,218,97
2019-11-06 11:28:27,218,97
2019-11-06 11:28:28,218,97
2019-11-06 11:28:29,218,97
2019-11-06 11:28:30,218,97
2019-11-06 11:28:31,218,97
2019-11-06 11:28:32,218,97
2019-11-06 11:28:33,218,97
2019-11-06 11:28:34,218,97
2019-11-06 11:28:35,218,97
2019-11-06 11:28:36,218,97
2019-11-06 11:28:37,218,97
2019-11-06 11:28:38,218,97
2019-11-06 11:28:39,218,97
2019-11-06 11:28:40,218,97
2019-11-06 11:28:41,218,97
2019-11-06 11:28:42,218,97
2019-11-06 11:28:43,218,97
2019-11-06 11:28:44,218,97
2019-11-06 11:28:45,218,97
2019-11-06 11:28:46,218,97
2019-11-06 11:28:47,218,97
2019-11-06 11:28:48,218,97
2019-11-06 11:28:49,218,97
2019-11-06 11:28:50,218,97
2019-11-06 11:28:51,218,97
2019-11-06 11:28:52,218,97
2019-11-06 11:28:53,218,97
2019-11-06 11:28:54,218,97
2019-11-06 11:28:55,218,97
2019-11-06 11:28:56,218,97
2019-11-06 11:28:57,218,96
2019-11-06 11:28:58,218,96
2019-11-06 11:28:59,218,96
2019-11-06 11:29:00,218,96
2019-11-06 11:29:01,218,96
2019-11-06 11:29:02,218,96
2019-11-06 11:29:03,218,97
2019-11-06 11:29:04,218,96
2019-11-06 11:29:05,218,97
2019-11-06 11:29:06,218,96
2019-11-06 11:29:07,218,96
2019-11-06 11:29:08,218,96
2019-11-06 11:29:09,218,96
2019-11-06 11:29:10,218,96
2019-11-06 11:29:11,218,96
2019-11-06 11:29:12,218,96
2019-11-06 11:29:13,218,96
2019-11-06 11:29:14,218,96
2019-11-06 11:29:15,218,96
2019-11-06 11:29:16,218,96
2019-11-06 11:29:17,218,96
2019-11-06 11:29:18,218,96
2019-11-06 11:29:19,218,96
2019-11-06 11:29:20,218,96
2019-11-06 11:29:21,218,96
2019-11-06 11:29:22,218,96
2019-11-06 11:29:23,218,96
